країни, TFIDF: 0.15771054127779, DE: 1.20530478315763
сосни, TFIDF: 0.101918958792881, DE: 0
дерева, TFIDF: 0.152878438189321, DE: 0.783137226028396
дерево, TFIDF: 0.0624913234734332, DE: 0.67588622384835
почали, TFIDF: 0.118282905958342, DE: 0
іграшками, TFIDF: 0.152878438189321, DE: 0
дерев, TFIDF: 0.152878438189321, DE: 0
києва, TFIDF: 0.092254752615943, DE: 0
києві, TFIDF: 0.126850284846922, DE: 0
л, TFIDF: 0.0624913234734332, DE: 0
