життя, TFIDF: 0.0451175795621188, DE: 0.61716303045154
землі, TFIDF: 0.175919649672263, DE: 0.646880237622393
смерті, TFIDF: 0.0791007355224761, DE: 0.617356001014971
тінь, TFIDF: 0.0351839299344526, DE: 0.75213147199964
сонця, TFIDF: 0.0351839299344526, DE: 0.81133546429358
пам'яті, TFIDF: 0.0431458557395324, DE: 0.158081705150977
видно, TFIDF: 0.0351839299344526, DE: 0
молодих, TFIDF: 0.0703678598689052, DE: 0
землею, TFIDF: 0.0469119065792701, DE: 1.37433221396757
земля, TFIDF: 0.0469119065792701, DE: 0.908652626236996
